POINT_X,POINT_Y
-2092941.695,-287550.2098
-1334115.177,-187537.5098
-1108689.727,-527263.1892
-765789.0407,-819363.7734
-1184889.879,-1270214.675
-1188064.885,-1254339.643
-1197589.904,-1251164.637
-1213464.936,-1252752.14
-1222989.955,-1259102.153
-1237277.484,-1260689.656
-1251565.012,-1252752.14
-1264265.038,-1247989.631
-1292840.095,-1240052.115
-1313477.636,-1232114.599
-1332527.674,-1221002.077
-1345227.7,-1219414.574
-1373802.757,-1217827.07
-1394440.298,-1209889.554
-1413490.336,-1197189.529
-1432540.374,-1189252.013
-1450002.909,-1170201.975
-1457940.425,-1155914.447
-1464290.438,-1143214.421
-1480165.469,-1136864.408
-1508740.527,-1135276.905
-1521440.552,-1135276.905
-1526203.062,-1143214.421
-1532553.074,-1154326.943
-1538903.087,-1146389.427
-1535728.081,-1136864.408
-1534140.577,-1122576.88
-1551603.112,-1122576.88
-1564303.138,-1122576.88
-1573828.157,-1122576.88
-1580178.169,-1101939.339
-1580178.169,-1089239.313
-1577003.163,-1068601.772
-1583353.176,-1055901.747
-1592878.195,-1036851.708
-1602403.214,-1020976.677
-1608753.227,-1011451.658
-1621453.252,-993989.1227
-1632565.774,-981289.0973
-1645265.8,-968589.0719
-1657965.825,-960651.556
-1675428.36,-955889.0465
-1708765.927,-952714.0401
-1724640.958,-952714.0401
-1737340.984,-951126.537
-1748453.506,-946364.0274
-1754803.519,-936839.0084
-1772266.054,-930488.9957
-1800841.111,-909851.4544
-1821478.652,-884451.4036
-1837353.684,-868576.3719
-1846878.703,-851113.8369
-1853228.716,-833651.302
-1862753.735,-817776.2703
-1872278.754,-806663.748
-1883391.276,-793963.7226
-1892916.295,-781263.6972
-1894503.798,-762213.6591
-1905616.32,-743163.621
-1918316.346,-727288.5893
-1926253.862,-717763.5702
-1938953.887,-708238.5512
-1946891.403,-693951.0226
-1954828.919,-671725.9782
-1964353.938,-655850.9464
-1969116.447,-641563.4178
-1975466.46,-627275.8893
-1986578.982,-614575.8639
-1992928.995,-597113.3289
-1996104.001,-574888.2845
-2000866.511,-559013.2527
-2007216.524,-536788.2083
-2010391.53,-517738.1702
-2018329.046,-495513.1257
-2023091.555,-471700.5781
-2018329.046,-452650.54
-2010391.53,-436775.5083
-2015154.039,-427250.4892
-2029441.568,-417725.4702
-2034204.078,-406612.9479
-2038966.587,-392325.4194
-2045316.6,-381212.8971
-2051666.612,-370100.3749
-2064366.638,-358987.8527
-2072304.154,-341525.3178
-2086591.682,-319300.2733
-2092941.695,-287550.2098
