POINT_X,POINT_Y
-2126654.089,-71394.01361
-2120304.076,-29060.59561
-2143587.456,45022.88589
-2143587.456,78889.62029
-2156287.481,97939.65839
-2185920.874,174139.8108
-2196504.229,229173.2542
-2230370.963,299023.3939
-2236720.976,332890.1283
-2236720.976,406973.6098
-2260004.356,491640.4458
-2272704.381,538207.2056
-2321387.812,618640.6998
-2344671.192,656740.776
-2361604.559,669440.8014
-2380654.597,688490.8395
-1487202.615,701493.7234
-1544169.462,-226252.0586
-2089423.562,-291357.0258
-2121976.045,-220826.6447
-2132826.873,-188274.1611
-2116550.631,-158434.3845
-2119263.338,-112318.3661
