POINT_X,POINT_Y
-1225569.648,-1260425.072
-942464.9149,-970705.7428
-480766.0748,-1199570.784
-554849.5563,-1378164.891
-570724.5881,-1367581.537
-586599.6198,-1354352.343
-594537.1357,-1353029.424
-611735.0868,-1339800.231
-636870.5537,-1350383.585
-658037.2627,-1351706.505
-687141.4876,-1339800.231
-742704.0987,-1363612.779
-766516.6463,-1370227.375
-779745.8394,-1354352.343
-802235.4678,-1363612.779
-832662.6119,-1360966.94
-847214.7244,-1347737.747
-906746.0934,-1355675.263
-925266.9638,-1349060.666
-941141.9956,-1355675.263
-982152.4943,-1351706.505
-983475.4136,-1366258.617
-991412.9294,-1366258.617
-1017871.316,-1358321.101
-1037715.105,-1338477.312
-1060204.734,-1343768.989
-1074756.846,-1341123.15
-1107829.829,-1327893.957
-1155454.924,-1296143.894
-1172652.875,-1276300.104
-1184559.149,-1260425.072
-1196465.423,-1245872.96
-1225569.648,-1260425.072
